date;value
25.10.2021;62660.57
24.10.2021;61053.51
23.10.2021;61032.69
22.10.2021;60937.14
21.10.2021;62793.27
20.10.2021;65834.54
19.10.2021;64253.46
18.10.2021;61152.04
17.10.2021;59605.17
16.10.2021;61052.69
15.10.2021;62264.83
14.10.2021;57440.24
13.10.2021;56968.25
12.10.2021;55487.57
11.10.2021;57396.93
10.10.2021;55433.79
09.10.2021;54495.14
08.10.2021;54263.62
07.10.2021;54172.87
06.10.2021;55105.34
05.10.2021;51348.18
04.10.2021;49061.41
03.10.2021;48668.25
02.10.2021;47998.81
01.10.2021;47955.42
30.09.2021;43278.20
29.09.2021;41015.62
28.09.2021;41859.05
27.09.2021;42832.27
26.09.2021;43531.57
25.09.2021;42707.31
24.09.2021;42907.93
23.09.2021;44614.07
22.09.2021;43487.00
21.09.2021;41049.34
20.09.2021;43280.99
19.09.2021;47604.84
18.09.2021;48007.42
17.09.2021;47142.52
16.09.2021;47278.65
15.09.2021;48063.72
14.09.2021;46841.57
13.09.2021;44902.50
12.09.2021;45423.32
11.09.2021;45393.72
10.09.2021;45213.35
09.09.2021;46312.68
08.09.2021;45974.41
07.09.2021;46380.72
06.09.2021;51885.09
05.09.2021;50961.22
04.09.2021;50196.90
03.09.2021;50146.03
02.09.2021;49510.14
01.09.2021;48276.62
31.08.2021;47154.40
30.08.2021;48634.15
29.08.2021;48878.90
28.08.2021;48699.50
27.08.2021;48975.77
26.08.2021;47010.77
25.08.2021;48780.29
24.08.2021;48280.61
23.08.2021;49434.00
22.08.2021;48452.62
21.08.2021;49012.13
20.08.2021;48689.30
19.08.2021;46442.57
18.08.2021;44636.13
17.08.2021;45078.92
16.08.2021;45859.86
15.08.2021;46693.31
14.08.2021;46654.87
13.08.2021;47436.63
12.08.2021;44475.32
11.08.2021;46440.41
10.08.2021;45600.96
09.08.2021;45638.68
08.08.2021;43786.38
07.08.2021;43991.36
06.08.2021;42720.89
05.08.2021;40877.71
04.08.2021;39647.15
03.08.2021;38006.50
02.08.2021;38746.35
01.08.2021;41305.66
31.07.2021;41643.85
30.07.2021;40687.57
29.07.2021;39709.09
28.07.2021;40085.59
27.07.2021;38035.38
26.07.2021;38109.85
25.07.2021;34381.68
24.07.2021;33922.90
23.07.2021;32450.06
22.07.2021;32324.21
21.07.2021;31697.99
20.07.2021;29881.49
19.07.2021;30820.72
18.07.2021;31701.86
17.07.2021;31767.52
16.07.2021;31944.64
15.07.2021;31728.58
14.07.2021;32811.85
13.07.2021;32418.66
12.07.2021;32957.72
11.07.2021;33912.51
10.07.2021;33321.07
09.07.2021;33502.27
08.07.2021;32841.52
07.07.2021;34579.45
06.07.2021;33946.95
05.07.2021;33823.23
04.07.2021;35526.50
03.07.2021;34673.90
02.07.2021;33212.41
01.07.2021;33443.66
30.06.2021;34912.18
29.06.2021;36285.43
28.06.2021;34546.78
27.06.2021;32739.02
26.06.2021;31361.23
25.06.2021;32284.37
24.06.2021;34939.96
23.06.2021;33175.12
22.06.2021;32810.10
21.06.2021;32638.74
20.06.2021;35808.84
19.06.2021;36152.73
18.06.2021;35463.46
17.06.2021;37789.27
16.06.2021;38683.08
15.06.2021;39904.51
14.06.2021;39869.78
13.06.2021;38991.86
12.06.2021;36068.89
11.06.2021;37340.77
10.06.2021;36301.43
09.06.2021;36407.02
08.06.2021;33705.50
07.06.2021;34769.34
06.06.2021;35880.53
05.06.2021;35706.21
04.06.2021;37087.58
03.06.2021;38599.15
02.06.2021;37748.15
01.06.2021;36198.89
31.05.2021;36733.66
30.05.2021;36091.85
29.05.2021;34149.52
28.05.2021;35430.99
27.05.2021;38552.63
26.05.2021;38807.38
25.05.2021;37672.70
24.05.2021;38993.40
23.05.2021;33850.55
22.05.2021;38101.06
21.05.2021;35939.12
20.05.2021;39927.36
19.05.2021;38572.26
18.05.2021;43219.67
17.05.2021;44837.67
16.05.2021;44162.96
15.05.2021;48339.35
14.05.2021;49574.54
13.05.2021;49115.65
12.05.2021;54437.70
11.05.2021;56783.53
10.05.2021;54821.39
09.05.2021;57822.23
08.05.2021;59026.70
07.05.2021;57528.65
06.05.2021;56025.07
05.05.2021;56870.37
04.05.2021;54572.74
03.05.2021;57124.06
02.05.2021;56829.29
01.05.2021;57807.76
30.04.2021;56767.75
29.04.2021;52868.27
28.04.2021;54322.30
27.04.2021;54944.10
26.04.2021;53379.41
25.04.2021;48636.67
24.04.2021;50951.51
23.04.2021;50751.91
22.04.2021;51750.70
21.04.2021;55037.26
20.04.2021;56946.05
19.04.2021;56253.42
18.04.2021;56239.05
17.04.2021;61398.24
16.04.2021;62125.39
15.04.2021;63518.54
14.04.2021;62306.93
13.04.2021;63167.59
12.04.2021;60247.44
11.04.2021;59685.74
10.04.2021;59064.99
09.04.2021;58442.27
08.04.2021;58032.79
07.04.2021;56178.10
06.04.2021;58395.09
05.04.2021;58927.47
04.04.2021;58484.27
03.04.2021;58626.84
02.04.2021;59108.90
01.04.2021;59245.95
31.03.2021;59217.66
30.03.2021;58916.33
29.03.2021;57446.02
28.03.2021;55199.09
27.03.2021;56005.93
26.03.2021;54221.11
25.03.2021;52345.53
24.03.2021;54064.00
23.03.2021;54884.36
22.03.2021;54818.04
21.03.2021;57885.72
20.03.2021;58612.93
19.03.2021;58449.24
18.03.2021;57780.26
17.03.2021;58069.59
16.03.2021;56329.03
15.03.2021;56497.64
14.03.2021;60079.40
13.03.2021;61479.92
12.03.2021;56730.94
11.03.2021;57526.12
10.03.2021;56250.20
09.03.2021;54416.10
08.03.2021;51789.78
07.03.2021;49991.13
06.03.2021;48398.56
05.03.2021;49146.98
04.03.2021;48114.87
03.03.2021;50935.67
02.03.2021;47228.85
01.03.2021;48322.85
28.02.2021;44363.23
